libraryName,libraryVersion,mavenLibraryName,licenseName,licenseUrl
Apache Commons,3.1,org.apache.commons:commons-lang3:jar:3.1:compile,Apache License Version 2.0.,https://www.apache.org/licenses/LICENSE-2.0
Joda Time,2.1,joda-time:joda-time:jar:2.1:compile,Apache License Version 2.0.,http://joda-time.sourceforge.net/license.html
Jackson,1.9,org.codehaus.jackson:jackson-core-asl:jar:1.9.11:compile,Apache License Version 2.0.,https://www.apache.org/licenses/LICENSE-2.0
Guava,11.0.2,com.google.guava:guava:jar:11.0.2:compile,Apache License Version 2.0.,https://www.apache.org/licenses/LICENSE-2.0
JavaFX,2.2,com.oracle:javafx:jar:2.2:compile,JavaSE Usage,kein Lizenztext
Slf4j,1.6.6,org.slf4j:slf4j-api:jar:1.6.6:compile,MIT Licence,http://www.slf4j.org/license.html
JavaFx OnSecreen,0.9.8,org.comtel.javafx:fx-onscreen-keyboard:jar:0.9.8:compile,New BSD License,http://opensource.org/licenses/BSD-3-Clause
Kryo,2.19, com.esotericsoftware.kryo:kryo:jar:2.19:compile,New BSD License,http://opensource.org/licenses/BSD-3-Clause
PDFBox,1.6.0,org.apache.pdfbox:pdfbox:jar:1.6.0:compile,Apache License Version 2.0.,https://www.apache.org/licenses/LICENSE-2.0
Eclipselink,2.4.0,org.eclipse.persistence:eclipselink:jar:2.4.0:compile,Eclipse Public License,http://www.eclipse.org/legal/epl-v10.html
Log4j,1.6.6,org.slf4j:slf4j-log4j12:jar:1.6.6:compile,MIT Licence,https://logging.apache.org/log4j/1.2/license.html
Dozer,5.3.2,net.sf.dozer:dozer:jar:5.3.2:compile,Apache License Version 2.0.,http://dozer.sourceforge.net/license.html
Jdom,1.1.3,org.jdom:jdom:jar:1.1.3:compile,Apache Style Licence,https://www.apache.org/licenses/LICENSE-2.0
Commons-IO,2.4,commons-io:commons-io:jar:2.4:compile,Apache License Version 2.0.,https://www.apache.org/licenses/
Commens-Codes,1.7,commons-codec:commons-codec:jar:1.7:compile,Apache License Version 2.0.,https://www.apache.org/licenses/
GSON,2.2.1,com.google.code.gson:gson:jar:2.2.1:compile,Apache License Version 2.0.,https://code.google.com/p/google-gson/source/browse/trunk/gson/LICENSE?r=369
Weld-Se-Core,1.1.9,org.jboss.weld.se:weld-se-core:jar:1.1.9.Final:compile,Apache License Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.html
Jackson-Mapper-Asl,1.9.11,org.codehaus.jackson:jackson-mapper-asl:jar:1.9.11:compile,Apache License Version 2.0.,https://www.apache.org/licenses/LICENSE-2.0
Jersey-Client,1.13,com.sun.jersey:jersey-client:jar:1.13:compile,CDDL 1.1 and GPL 2 with CPE,https://jersey.java.net/license.html
JIRA-Rest-Java-Client,0.6,com.atlassian.jira:jira-rest-java-client:jar:0.6-m5:compile,Part of JIRA source distribution,kein Lizenztext
